Nom,Lien_Toonily,Lien_MangaDemon,Lien_ScanManga,Dernier_Vu
[dominion vs roll short stories] electric reverse love,0,0,https://m.scan-manga.com/14197/%5BDominion-VS-Roll-Short-Stories%5D-Electric-Reverse-Love.html,-1
[dominion vs roll short stories] fetter,0,0,https://m.scan-manga.com/13656/%5BDominion-VS-Roll-Short-Stories%5D-Fetter.html,-1
[dominion vs roll short stories] turn up,0,0,https://m.scan-manga.com/14062/%5BDominion-VS-Roll-Short-Stories%5D-Turn-Up.html,-1
[dumb boy short stories],0,0,https://m.scan-manga.com/13385/%5BDumb-Boy-Short-Stories%5D.html,-1
[e~rofan anthology] i thought i skipped the first night,0,0,https://m.scan-manga.com/14267/%5BERofan-Anthology%5D-I-Thought-I-Skipped-the-First-Night.html,-1
[gwanggong industrial complex] a one time mistake,0,0,https://m.scan-manga.com/11410/%5BGwangGong-Industrial-Complex%5D-A-One-Time-Mistake.html,-1
[gwanggong industrial complex] barrel,0,0,https://m.scan-manga.com/11310/%5BGwangGong-Industrial-Complex%5D-Barrel.html,-1
[gwanggong industrial complex] blindspot,0,0,https://m.scan-manga.com/11453/%5BGwangGong-Industrial-Complex%5D-Blindspot.html,-1
[gwanggong industrial complex] can someone like me move in?,0,0,https://m.scan-manga.com/13693/%5BGwangGong-Industrial-Complex%5D-Can-Someone-Like-Me-Move-In.html,-1
[gwanggong industrial complex] give me back my jeongwoo,0,0,https://m.scan-manga.com/11181/%5BGwangGong-Industrial-Complex%5D-Give-Me-Back-My-JeongWoo.html,-1
[gwanggong industrial complex] good hunter & bad prey,0,0,https://m.scan-manga.com/11475/%5BGwangGong-Industrial-Complex%5D-Good-Hunter-Bad-Prey.html,-1
[gwanggong industrial complex] hellen,0,0,https://m.scan-manga.com/11214/%5BGwangGong-Industrial-Complex%5D-Hellen.html,-1
[gwanggong industrial complex] keep a dog,0,0,https://m.scan-manga.com/11305/%5BGwangGong-Industrial-Complex%5D-Keep-a-Dog.html,-1
[gwanggong industrial complex] lucky! housekeeper,0,0,https://m.scan-manga.com/11306-21218/%5BGwangGong-Industrial-Complex%5D-Lucky-Housekeeper.html,-1
"[gwanggong industrial complex] please, candy!",0,0,https://m.scan-manga.com/11345/%5BGwangGong-Industrial-Complex%5D-Please-Candy.html,-1
[gwanggong industrial complex] rock'n roll in forging,0,0,https://m.scan-manga.com/11312/%5BGwangGong-Industrial-Complex%5D-Rock-n-Roll-in-Forging.html,-1
[gwanggong industrial complex] trap,0,0,https://m.scan-manga.com/11299/%5BGwangGong-Industrial-Complex%5D-Trap.html,-1
[gwanggong industrial complex] weakness,0,0,https://m.scan-manga.com/11311/%5BGwangGong-Industrial-Complex%5D-Weakness.html,-1
"[hyung, i've grown up! yeokkijab bl anthology] postscript",0,0,https://www.scan-manga.com/14513/%5BHyung-I-ve-Grown-Up-Yeokkijab-BL-Anthology%5D-Postscript.html,-1
[isekai anthology] hospitalized life in another world,0,0,https://m.scan-manga.com/14191/%5BIsekai-Anthology%5D-Hospitalized-Life-in-Another-World.html,-1
[isekai anthology] isekai workshop meat doll,0,0,https://m.scan-manga.com/14394/%5BIsekai-Anthology%5D-Isekai-Workshop-Meat-Doll.html,-1
[isekai anthology] the fall of another world hero,0,0,https://m.scan-manga.com/13836/%5BIsekai-Anthology%5D-The-Fall-of-Another-World-Hero.html,-1
[middle-age short stories] dawning,0,0,https://m.scan-manga.com/12571/%5BMiddle-Age-Short-Stories%5D-Dawning.html,-1
[mutiny short stories] lingerie night,0,0,https://m.scan-manga.com/14124/%5BMutiny-Short-Stories%5D-Lingerie-Night.html,-1
[secret club anthology] men in lust,0,0,https://m.scan-manga.com/14189/%5BSecret-Club-Anthology%5D-Men-in-Lust.html,-1
"[secret club anthology] tame me, master",0,0,https://m.scan-manga.com/14084/%5BSecret-Club-Anthology%5D-Tame-Me-Master.html,-1
"[short stories about insignificant tops] countryman: seriously, samohao",0,0,https://m.scan-manga.com/13864/%5BShort-Stories-About-Insignificant-Tops%5D-Countryman-Seriously-Samohao.html,-1
"[short stories about insignificant tops] escape, master-nim!",0,0,https://m.scan-manga.com/13932/%5BShort-Stories-About-Insignificant-Tops%5D-Escape-Master-nim.html,-1
"[short stories about insignificant tops] the more i look at him, the more i want to see him",0,0,https://m.scan-manga.com/14086/%5BShort-Stories-About-Insignificant-Tops%5D-The-More-I-Look-at-Him-the-More-I-Want-to-See-Him.html,-1
[short stories about insignificant tops] what is his destiny?,0,0,https://m.scan-manga.com/13795/%5BShort-Stories-About-Insignificant-Tops%5D-What-Is-His-Destiny.html,-1
[short stories about insignificant tops] yes or no,0,0,https://m.scan-manga.com/14364/%5BShort-Stories-About-Insignificant-Tops%5D-Yes-or-No.html,-1
[staff only anthology] immoral parody,0,0,https://m.scan-manga.com/13875/%5BStaff-Only-Anthology%5D-Immoral-Parody.html,-1
[staff only anthology] reunion trap,0,0,https://m.scan-manga.com/14350/%5BStaff-Only-Anthology%5D-Reunion-Trap.html,-1
[traditional erotic fairy tales] heungbu and nolbu at night,0,0,https://m.scan-manga.com/12944/%5BTraditional-Erotic-Fairy-Tales%5D-Heungbu-and-Nolbu-at-Night.html,-1
